"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"UTS2",0,0,0.0404735764190729,0.00769448582367932,0.0914249417110909,0,0.0235117088309978,0.0551049197672368,0
"TNFRSF9",0.00872143729286586,0.0307393111730224,0.0180774154283645,0,0.174185344219224,0,0.0488573487559697,0.0474924012158055,0
"PARK7",2.37142859729887,3.81439280766235,2.96935372459322,2.22910666532617,3.55808996276116,3.41564447350271,3.88869199507337,3.9200860878322,5.8596723053043
"SLC45A1",0.00530870096087487,0,0,0.00803254143184871,0,0,0,0.106837606837607,0
"RERE",0.140800914202913,0.27958323167787,0.256185341857061,0.3470047661374,0.155930697375965,0.160123698155164,0.0731415707992943,0.236359513271277,0.0866738894907909
"RP5-1115A15.1",0,0.00630573878981522,0.0189504686449679,0.018999848001216,0,0,0,0,0
"ENO1",3.93041830991982,5.05495588260681,4.4053435937419,2.6835993608921,4.74190138757173,5.71118388381261,5.46197950097694,5.71646706938496,3.70709319014002
"ENO1-AS1",0.0264515934967114,0.00428306979604878,0.0345612136289537,0.0612878777483452,0,0,0.0374440679235392,0,0
"CA6",0.0369846022900672,0,0,0,0,0,0,0,0
"SLC2A5",0,0.0134825037548773,0,0.0490390435165557,0,0,0,0,0
"GPR157",0.00919878576027964,0.006462549204234,0.00776847459786491,0,0,0,0,0,0
"H6PD",0.0880457290402481,0.143118964666116,0.0570870632182422,0.0703860210976227,0.0391002970242563,0.155181678661517,0.112545591779235,0.110209839534474,0
"SPSB1",0.0113639171924439,0,0.0181612489532262,0.0122553825640221,0.0350860814892037,0.0307510950106009,0.0425007437630159,0,0.173347778981582
"SLC25A33",0.133700751673706,0.260537474179275,0.14967903346394,0.180958936083983,0.130120767229855,0.13137119622141,0.20127752256619,0.131148048359464,0
"TMEM201",0.0100180324584252,0,0.0260158428045241,0,0.0358342828937244,0.0135369287416071,0,0,0
"PIK3CD",0.411683146946708,0.519797542838086,0.288664819881694,0.232960463650551,0.36659342531292,0.340191636518272,0.542270022112155,0.424890431309078,0
"C1orf200",0.0102213301759288,0.00976515772194494,0.00405829332532497,0.0334623750919841,0,0,0,0,0
"RP11-558F24.4",0.0194728618597423,0.00638710316129671,0.00505082136457031,0,0,0,0,0,0
"CLSTN1",0.238008295873776,0.180863971624516,0.296897539330032,0.240386484137576,0.207132294123032,0.179282532879637,0.405759611790095,0.311703548264593,0
"CTNNBIP1",0.484323383502919,0.624140241663493,0.146634528150362,0.105912626548999,0.221980090115221,0.289338312112843,0.465363175897099,0.674931466929499,0.0866738894907909
"LZIC",0.207864416275918,0.208087156330407,0.175606264688068,0.30883436496278,0.263538203695675,0.365926710738325,0.391601991342455,0.238921136884054,0
"NMNAT1",0.0240402968302587,0.0566441870711659,0.0379936588787443,0.0371010836306046,0.0647981072333597,0.0336758003301242,0.0355460766017951,0.147871723965205,0
"RBP7",0.0260888476406251,2.37138516125887,0,0.0533027319465818,0,0.767369528780912,0,0,0
