"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNGT2.4",6.17081830649238e-07,1.83057900415064,0.156,0.021,0.00846266022552366,"7","GNGT2"
"MFSD1.3",6.3214340243977e-07,1.50494841895795,0.281,0.058,0.00866921462105901,"7","MFSD1"
"ATP5J2.5",6.73095497117718e-07,0.820640672340077,0.844,0.318,0.00923083164747238,"7","ATP5J2"
"GAPDH.5",6.75213746154139e-07,0.760042536729859,1,0.849,0.00925988131475786,"7","GAPDH"
"CNPY3.6",6.78630523173549e-07,1.12971616665683,0.688,0.274,0.00930673899480205,"7","CNPY3"
"C11orf54",6.79575921375022e-07,2.2081722135901,0.125,0.014,0.00931970418573706,"7","C11orf54"
"GLTP.1",7.0630283242e-07,1.43219999784623,0.25,0.048,0.00968623704380788,"7","GLTP"
"HERPUD1.3",7.09318470136697e-07,1.40362744746486,0.625,0.207,0.00972759349945467,"7","HERPUD1"
"H2AFX",7.11569064391178e-07,1.47648461499482,0.188,0.029,0.00975845814906062,"7","H2AFX"
"RBM42.2",7.21516671932706e-07,1.24779278548673,0.344,0.081,0.00989487963888513,"7","RBM42"
"PMAIP1.2",7.27109714698227e-07,0.860171802428654,0.469,0.129,0.00997158262737149,"7","PMAIP1"
"C17orf62.2",7.41028282331714e-07,0.61723396993086,0.531,0.151,0.0101624618638971,"7","C17orf62"
"NAPA.3",7.84637201677649e-07,0.945070180409794,0.469,0.127,0.0107605145838073,"7","NAPA"
"CSTB.4",8.20579158805768e-07,1.04912866781548,0.844,0.365,0.0112534225838623,"7","CSTB"
"NRROS.3",8.29688422881547e-07,1.38253367491682,0.281,0.059,0.0113783470313975,"7","NRROS"
"MTFMT.1",8.49204772706964e-07,1.94744646493,0.188,0.03,0.0116459942529033,"7","MTFMT"
"DNASE1L1.3",8.58623614746779e-07,2.27099793805323,0.188,0.03,0.0117751642526373,"7","DNASE1L1"
"DNAJC4.2",8.84124234237043e-07,1.0663765485709,0.438,0.117,0.0121248797483268,"7","DNAJC4"
"APH1A.1",8.85832605671465e-07,0.722414688386019,0.656,0.198,0.0121483083541785,"7","APH1A"
"TMEM44-AS1.1",8.92333350175513e-07,2.64819402370845,0.094,0.008,0.012237459564307,"7","TMEM44-AS1"
"SCYL3",8.93004131422734e-07,1.61476970508615,0.156,0.021,0.0122466586583314,"7","SCYL3"
"HEBP2.3",9.00474852940814e-07,1.78731854782221,0.281,0.06,0.0123491121332303,"7","HEBP2"
"RCC2.2",9.11288804436361e-07,1.77409733020711,0.188,0.03,0.0124974146640403,"7","RCC2"
"AIF1.7",9.24588087063208e-07,0.299859078682132,0.906,0.368,0.0126798010259848,"7","AIF1"
"EIF4E2.5",9.25835177937684e-07,0.722248937190985,0.531,0.152,0.0126969036302374,"7","EIF4E2"
"HOXB4.1",9.31143528071713e-07,2.50528333139224,0.094,0.008,0.0127697023439755,"7","HOXB4"
"B2M.6",9.35237211577031e-07,-0.636063447572284,1,1,0.0128258431195674,"7","B2M"
"IQSEC2.1",9.44437660902036e-07,2.2210537396265,0.094,0.008,0.0129520180816105,"7","IQSEC2"
"SLC29A3",9.44437660902036e-07,2.34021256204276,0.094,0.008,0.0129520180816105,"7","SLC29A3"
"ATG3.7",9.44644409472653e-07,1.01176716384927,0.625,0.208,0.012954853431508,"7","ATG3"
"UCHL3.2",9.62317879231975e-07,1.63141841753749,0.312,0.072,0.0131972273957873,"7","UCHL3"
"PPT1.5",9.83800175427658e-07,1.4167849002053,0.562,0.188,0.0134918356058149,"7","PPT1"
"GS1-124K5.11",1.00081514775491e-06,3.50311562524343,0.062,0.004,0.0137251789363109,"7","GS1-124K5.11"
"DNAJC15.2",1.0138066590924e-06,0.369300718950121,0.5,0.141,0.0139033445227931,"7","DNAJC15"
"MAN2C1.3",1.0228108768825e-06,1.98977729032197,0.188,0.03,0.0140268283655666,"7","MAN2C1"
"IQCH-AS1",1.04238060385037e-06,2.98482120802064,0.062,0.004,0.014295207601204,"7","IQCH-AS1"
"TRMT44",1.05302874030751e-06,3.50349892031163,0.062,0.004,0.0144412361445772,"7","TRMT44"
"USP45",1.06378152503538e-06,2.73537342636686,0.062,0.004,0.0145886998343351,"7","USP45"
